usp_category,usp_class,usp_drug,kegg_id
Analgesics,Nonsteroidal Anti-inflammatory Drugs,celecoxib,D00567
Analgesics,Nonsteroidal Anti-inflammatory Drugs,diclofenac,D07816
Analgesics,Nonsteroidal Anti-inflammatory Drugs,diclofenac,D00903
Analgesics,Nonsteroidal Anti-inflammatory Drugs,diclofenac,D00904
Analgesics,Nonsteroidal Anti-inflammatory Drugs,diclofenac,D07817
Analgesics,Nonsteroidal Anti-inflammatory Drugs,diclofenac,D07818
Analgesics,Nonsteroidal Anti-inflammatory Drugs,diclofenac,D07819
Analgesics,Nonsteroidal Anti-inflammatory Drugs,diflunisal,D00130
Analgesics,Nonsteroidal Anti-inflammatory Drugs,etodolac,D00315
Analgesics,Nonsteroidal Anti-inflammatory Drugs,fenoprofen,D02350
Analgesics,Nonsteroidal Anti-inflammatory Drugs,fenoprofen,D00968
Analgesics,Nonsteroidal Anti-inflammatory Drugs,flurbiprofen,D00330
Analgesics,Nonsteroidal Anti-inflammatory Drugs,flurbiprofen,D01475
Analgesics,Nonsteroidal Anti-inflammatory Drugs,flurbiprofen,D02290
Analgesics,Nonsteroidal Anti-inflammatory Drugs,flurbiprofen,D10254
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ibuprofen,D00126
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ibuprofen,D01122
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ibuprofen,D04490
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ibuprofen,D06606
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ibuprofen,D08058
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ibuprofen,D08059
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ibuprofen,D09760
Analgesics,Nonsteroidal Anti-inflammatory Drugs,indomethacin,D00141
Analgesics,Nonsteroidal Anti-inflammatory Drugs,indomethacin,D02110
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ketoprofen,D00132
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ketoprofen,D08102
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ketoprofen,D08103
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ketorolac,D08104
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ketorolac,D00813
Analgesics,Nonsteroidal Anti-inflammatory Drugs,meclofenamate,D02341
Analgesics,Nonsteroidal Anti-inflammatory Drugs,meclofenamate,D00169
Analgesics,Nonsteroidal Anti-inflammatory Drugs,meclofenamate,D08162
Analgesics,Nonsteroidal Anti-inflammatory Drugs,mefenamic acid,D00151
Analgesics,Nonsteroidal Anti-inflammatory Drugs,meloxicam,D00969
Analgesics,Nonsteroidal Anti-inflammatory Drugs,nabumetone,D00425
Analgesics,Nonsteroidal Anti-inflammatory Drugs,naproxen,D00118
Analgesics,Nonsteroidal Anti-inflammatory Drugs,naproxen,D00970
Analgesics,Nonsteroidal Anti-inflammatory Drugs,naproxen,D10017
Analgesics,Nonsteroidal Anti-inflammatory Drugs,oxaprozin,D00463
Analgesics,Nonsteroidal Anti-inflammatory Drugs,piroxicam,D00127
Analgesics,Nonsteroidal Anti-inflammatory Drugs,piroxicam,D05511
Analgesics,Nonsteroidal Anti-inflammatory Drugs,piroxicam,D05512
